experiment_id,step,timestamp,energy_total_power_supply_kW,energy_total_power_need_kW,energy_power_shortage_kW,energy_total_charge_level_kWh,energy_total_state_of_charge,energy_total_charge_capacity_kWh,science_total_science_cumulative,science_science_generated,science_operational_rovers,science_total_rovers,science_total_power_demand,science_metric_contributions,science_science_growth_rate,science_S_0,science_rovers_in_pipeline,science_p_eff,manufacturing_power_demand,manufacturing_power_consumed,manufacturing_active_operations,manufacturing_operational_robots,manufacturing_sector_state,manufacturing_stock_H2O_kg,manufacturing_stock_FeTiO3_kg,manufacturing_stock_He3_kg,manufacturing_metric_contributions,equipment_manufacturing_sector_state,equipment_manufacturing_equipment_Solar_Array_EQ,equipment_manufacturing_equipment_ISRU_Generator_EQ,equipment_manufacturing_equipment_ISRU_Extractor_EQ,equipment_manufacturing_equipment_Assembly_Robot_EQ,equipment_manufacturing_equipment_Printing_Robot_EQ,equipment_manufacturing_equipment_Science_Rover_EQ,transportation_rockets,transportation_fuel_generators,transportation_queued_requests,transportation_rocket_fuel_kg,transportation_launches_this_step,transportation_metric_contributions,construction_printing_robots,construction_assembly_robots,construction_queued_requests,construction_shells_in_stock,construction_regolith_used_kg,construction_power_demand_kw_step,construction_modules_completed_this_step,construction_shells_produced_this_step,construction_equipment_Science_Rover_EQ,construction_equipment_Energy_Generator_EQ,construction_equipment_Habitation_Module_EQ,construction_equipment_ISRU_Robot_EQ,construction_equipment_Rocket_EQ,construction_equipment_Printing_Robot_EQ,construction_equipment_Assembly_Robot_EQ,environment_step,metric_IND-DUST-COV,performance_scores
exp_001,3688,2026-05-10 13:01:35.080988+00:00,42.0,42.0,0,500.0,1.0,500,2734.5,0.0,0,3,0.0,{'IND-DUST-COV': 0.0},0.0,1.5,10,0.08666666666666656,40.0,0.0,0,0,ACTIVE,18.0,90.0,1.7097027774141675,{'IND-DUST-COV': 0.0},ACTIVE,0,0,0,1,1,1,3,3,0,1637716.0,0,{},3,3,0,12,2400.0,0.0,0,0,0,0,0,0,0,0,0,3688,0.6500000000000001,"{'IND-DUST-COV': {'name': 'Dust Coverage Index', 'unit': 'index_0_1', 'type': 'negative', 'current': 0.6500000000000001, 'status': 'within', 'score': 1.0, 'goal': {'goal_id': 'WS-PG-003', 'name': 'Preserve Lunar Environment', 'target': 0.75, 'direction': 'minimize', 'weight': 0.05}}}"
exp_001,3689,2026-05-10 14:01:35.080988+00:00,42.0,42.0,0,500.0,1.0,500,2734.5,0.0,0,3,0.0,{'IND-DUST-COV': 0.0},0.0,1.5,10,0.0,40.0,0.0,0,0,ACTIVE,18.0,90.0,1.7097027774141675,{'IND-DUST-COV': 0.0},ACTIVE,0,0,0,1,1,1,3,3,0,1637716.0,0,{},3,3,0,12,2400.0,0.0,0,0,0,0,0,0,0,0,0,3689,0.6400000000000001,"{'IND-DUST-COV': {'name': 'Dust Coverage Index', 'unit': 'index_0_1', 'type': 'negative', 'current': 0.6400000000000001, 'status': 'within', 'score': 1.0, 'goal': {'goal_id': 'WS-PG-003', 'name': 'Preserve Lunar Environment', 'target': 0.75, 'direction': 'minimize', 'weight': 0.05}}}"
exp_001,3690,2026-05-10 15:01:35.080988+00:00,42.0,42.0,0,500.0,1.0,500,2735.5,1.0,2,3,0.0,{'IND-DUST-COV': 0.01},-0.00015856939569562382,1.5,10,0.0,40.0,0.0,0,0,ACTIVE,18.0,90.0,1.7097027774141675,{'IND-DUST-COV': 0.0},ACTIVE,0,0,0,1,1,1,3,3,0,1637716.0,0,{},3,3,0,12,2400.0,0.0,0,0,0,0,0,0,0,0,0,3690,0.6400000000000001,"{'IND-DUST-COV': {'name': 'Dust Coverage Index', 'unit': 'index_0_1', 'type': 'negative', 'current': 0.6400000000000001, 'status': 'within', 'score': 1.0, 'goal': {'goal_id': 'WS-PG-003', 'name': 'Preserve Lunar Environment', 'target': 0.75, 'direction': 'minimize', 'weight': 0.05}}}"
exp_001,3691,2026-05-10 16:01:35.080988+00:00,42.0,42.0,0,500.0,1.0,500,2736.0,0.5,1,3,0.0,{'IND-DUST-COV': 0.005},-0.0004295291329867632,1.5,10,0.19703703703703682,40.0,40.0,1,1,ACTIVE,18.0,90.0,1.7116329556566545,{'IND-DUST-COV': 0.005},ACTIVE,0,0,0,1,1,1,3,3,0,1637716.0,0,{},3,3,0,12,2400.0,0.0,0,0,0,0,0,0,0,0,0,3691,0.6400000000000001,"{'IND-DUST-COV': {'name': 'Dust Coverage Index', 'unit': 'index_0_1', 'type': 'negative', 'current': 0.6400000000000001, 'status': 'within', 'score': 1.0, 'goal': {'goal_id': 'WS-PG-003', 'name': 'Preserve Lunar Environment', 'target': 0.75, 'direction': 'minimize', 'weight': 0.05}}}"
exp_001,3692,2026-05-10 17:01:35.080988+00:00,42.0,42.0,0,500.0,1.0,500,2737.5,1.5,3,3,19.805136024705064,{'IND-DUST-COV': 0.015},0.0,1.5,10,0.09851851851851841,40.0,40.0,1,1,ACTIVE,18.0,90.0,1.712761034188887,{'IND-DUST-COV': 0.005},ACTIVE,0,0,0,1,1,1,3,3,0,1637716.0,0,{},3,3,0,12,2400.0,0.0,0,0,0,0,0,0,0,0,0,3692,0.6500000000000001,"{'IND-DUST-COV': {'name': 'Dust Coverage Index', 'unit': 'index_0_1', 'type': 'negative', 'current': 0.6500000000000001, 'status': 'within', 'score': 1.0, 'goal': {'goal_id': 'WS-PG-003', 'name': 'Preserve Lunar Environment', 'target': 0.75, 'direction': 'minimize', 'weight': 0.05}}}"
exp_001,3693,2026-05-10 18:01:35.080988+00:00,61.805136024705064,61.805136024705064,0,500.0,1.0,500,2737.5,0.0,0,3,0.0,{'IND-DUST-COV': 0.0},0.0,1.5,10,0.27777777777777746,40.0,0.0,0,0,ACTIVE,18.0,90.0,1.712761034188887,{'IND-DUST-COV': 0.0},ACTIVE,0,0,0,1,1,1,3,3,0,1637716.0,0,{},3,3,0,12,2400.0,0.0,0,0,0,0,0,0,0,0,0,3693,0.6400000000000001,"{'IND-DUST-COV': {'name': 'Dust Coverage Index', 'unit': 'index_0_1', 'type': 'negative', 'current': 0.6400000000000001, 'status': 'within', 'score': 1.0, 'goal': {'goal_id': 'WS-PG-003', 'name': 'Preserve Lunar Environment', 'target': 0.75, 'direction': 'minimize', 'weight': 0.05}}}"
exp_001,3694,2026-05-10 19:01:35.080988+00:00,42.0,42.0,0,500.0,1.0,500,2738.0,0.5,1,3,0.0,{'IND-DUST-COV': 0.005},-0.00042918020599002336,1.5,10,0.0,40.0,0.0,0,0,ACTIVE,18.0,90.0,1.712761034188887,{'IND-DUST-COV': 0.0},ACTIVE,0,0,0,1,1,1,3,3,0,1637716.0,0,{},3,3,0,12,2400.0,0.0,0,0,0,0,0,0,0,0,0,3694,0.6350000000000001,"{'IND-DUST-COV': {'name': 'Dust Coverage Index', 'unit': 'index_0_1', 'type': 'negative', 'current': 0.6350000000000001, 'status': 'within', 'score': 1.0, 'goal': {'goal_id': 'WS-PG-003', 'name': 'Preserve Lunar Environment', 'target': 0.75, 'direction': 'minimize', 'weight': 0.05}}}"
exp_001,3695,2026-05-10 20:01:35.080988+00:00,42.0,42.0,0,500.0,1.0,500,2739.5,1.5,3,3,19.794901082642962,{'IND-DUST-COV': 0.015},0.0,1.5,10,0.10148148148148137,40.0,40.0,1,1,ACTIVE,18.0,90.0,1.7140363897047137,{'IND-DUST-COV': 0.005},ACTIVE,0,0,0,1,1,1,3,3,0,1637716.0,0,{},3,3,0,12,2400.0,0.0,0,0,0,0,0,0,0,0,0,3695,0.6450000000000001,"{'IND-DUST-COV': {'name': 'Dust Coverage Index', 'unit': 'index_0_1', 'type': 'negative', 'current': 0.6450000000000001, 'status': 'within', 'score': 1.0, 'goal': {'goal_id': 'WS-PG-003', 'name': 'Preserve Lunar Environment', 'target': 0.75, 'direction': 'minimize', 'weight': 0.05}}}"
exp_001,3696,2026-05-10 21:01:35.080988+00:00,61.794901082642966,61.794901082642966,0,500.0,1.0,500,2740.0,0.5,1,3,0.0,{'IND-DUST-COV': 0.005},-0.0004289479027662128,1.5,10,0.28666666666666635,40.0,0.0,0,0,ACTIVE,18.0,90.0,1.7140363897047137,{'IND-DUST-COV': 0.0},ACTIVE,0,0,0,1,1,1,3,3,0,1637716.0,0,{},3,3,0,12,2400.0,0.0,0,0,0,0,0,0,0,0,0,3696,0.6400000000000001,"{'IND-DUST-COV': {'name': 'Dust Coverage Index', 'unit': 'index_0_1', 'type': 'negative', 'current': 0.6400000000000001, 'status': 'within', 'score': 1.0, 'goal': {'goal_id': 'WS-PG-003', 'name': 'Preserve Lunar Environment', 'target': 0.75, 'direction': 'minimize', 'weight': 0.05}}}"
exp_001,3697,2026-05-10 22:01:35.080988+00:00,42.0,42.0,0,500.0,1.0,500,2741.0,1.0,2,3,19.202618949986817,{'IND-DUST-COV': 0.01},-0.00015826907487044272,1.5,10,0.09851851851851841,40.0,40.0,1,1,ACTIVE,18.0,90.0,1.715673740180677,{'IND-DUST-COV': 0.005},ACTIVE,0,0,0,1,1,1,3,3,0,1637716.0,0,{},3,3,0,12,2400.0,0.0,0,0,0,0,0,0,0,0,0,3697,0.6450000000000001,"{'IND-DUST-COV': {'name': 'Dust Coverage Index', 'unit': 'index_0_1', 'type': 'negative', 'current': 0.6450000000000001, 'status': 'within', 'score': 1.0, 'goal': {'goal_id': 'WS-PG-003', 'name': 'Preserve Lunar Environment', 'target': 0.75, 'direction': 'minimize', 'weight': 0.05}}}"
